episode,reward
0,3.7675
100,-2.4315
200,0.582
300,-1.605
400,1.23
500,2.455
600,0.997
700,0.7645
800,1.018
900,0.304
1000,1.8735
1100,2.876
1200,0.893
1300,1.906
1400,2.7345
1500,1.6085
1600,3.4765
1700,2.733
1800,1.011
1900,0.1945
2000,1.562
2100,1.9175
2200,0.7055
2300,2.499
2400,2.763
2500,3.477
2600,1.8055
2700,2.397
2800,0.8975
2900,2.4805
3000,3.5015
3100,4.5125
3200,3.4545
3300,4.761
3400,2.4275
3500,3.887
3600,2.416
3700,2.0985
3800,2.266
3900,3.274
4000,4.847
4100,5.59
4200,0.778
4300,3.031
4400,2.8915
4500,4.486
4600,0.872
4700,2.1115
4800,1.51
4900,3.6255
5000,6.068
5100,2.019
5200,4.739
5300,1.6925
5400,2.929
5500,3.1995
5600,3.9845
5700,3.561
5800,3.297
5900,1.7175
6000,5.943
6100,2.051
6200,5.196
6300,3.639
6400,3.028
6500,1.499
6600,2.8955
6700,3.5985
6800,0.1625
6900,3.0785
7000,3.978
7100,3.4225
7200,4.669
7300,5.1995
7400,6.1685
7500,4.548
7600,2.5705
7700,4.282
7800,4.4485
7900,6.921
8000,4.5705
8100,3.5325
8200,3.7455
8300,5.03
8400,3.2565
8500,1.466
8600,1.609
8700,3.958
8800,1.8565
8900,3.607
9000,4.6615
9100,3.6545
9200,1.394
9300,2.1995
9400,2.478
9500,4.3675
9600,3.666
9700,3.5505
9800,3.4665
9900,5.8825
10000,2.7975
10100,4.4345
10200,4.5945
10300,7.1785
10400,5.0465
10500,1.3535
10600,4.1075
10700,4.7315
10800,5.053
10900,2.237
11000,3.232
11100,5.927
11200,4.369
11300,2.1705
11400,1.6455
11500,3.3985
11600,4.4975
11700,3.2025
11800,3.542
11900,4.549
12000,6.2705
12100,5.037
12200,2.2
12300,3.9325
12400,3.416
12500,3.8105
12600,4.713
12700,4.471
12800,7.302
12900,4.785
13000,2.961
13100,4.5845
13200,4.395
13300,4.4185
13400,5.3955
13500,4.782
13600,3.4925
13700,5.9285
13800,6.23
13900,3.4955
14000,4.2655
14100,4.8245
14200,5.4385
14300,5.3905
14400,6.0205
14500,3.28
14600,5.048
14700,1.444
14800,5.645
14900,3.714
15000,6.203
15100,4.371
15200,5.852
15300,6.6535
15400,6.6055
15500,4.416
15600,5.5535
15700,4.1525
15800,6.0065
15900,3.381
16000,5.5135
16100,3.109
16200,4.6105
16300,5.2665
16400,5.1015
16500,6.825
16600,7.0335
16700,4.1925
16800,4.7785
16900,3.881
17000,3.3
17100,5.0245
17200,5.7155
17300,6.011
17400,4.5755
17500,3.884
17600,3.244
17700,4.7655
17800,6.3765
17900,3.4475
18000,5.161
18100,5.0195
18200,4.995
18300,4.948
18400,5.5345
18500,6.761
18600,4.253
18700,6.0575
18800,6.576
18900,4.9835
19000,4.0255
19100,3.162
19200,2.5255
19300,6.5395
19400,6.2145
19500,7.8195
19600,4.784
19700,4.366
19800,4.855
19900,6.7725
20000,4.722
20100,5.1955
20200,5.1515
20300,8.079
20400,5.1805
20500,2.8765
20600,5.8935
20700,6.317
20800,5.493
20900,6.9175
21000,5.7675
21100,4.962
21200,7.062
21300,5.5515
